Timestamp: 2024-07-27 04:54:37, Total: 503.71 GB, Available: 424.12 GB, Used: 76.04 GB, Percent: 15.8%
Timestamp: 2024-07-27 05:03:58, Total: 503.71 GB, Available: 405.11 GB, Used: 95.06 GB, Percent: 19.6%
Timestamp: 2024-07-27 05:04:08, Total: 503.71 GB, Available: 403.99 GB, Used: 96.18 GB, Percent: 19.8%
Timestamp: 2024-07-27 05:04:18, Total: 503.71 GB, Available: 403.85 GB, Used: 96.32 GB, Percent: 19.8%
Timestamp: 2024-07-27 05:04:28, Total: 503.71 GB, Available: 404.02 GB, Used: 96.16 GB, Percent: 19.8%
Timestamp: 2024-07-27 05:04:38, Total: 503.71 GB, Available: 404.03 GB, Used: 96.15 GB, Percent: 19.8%
Timestamp: 2024-07-27 05:04:48, Total: 503.71 GB, Available: 404.04 GB, Used: 96.13 GB, Percent: 19.8%
Timestamp: 2024-07-27 05:04:58, Total: 503.71 GB, Available: 403.54 GB, Used: 96.63 GB, Percent: 19.9%
Timestamp: 2024-07-27 05:05:08, Total: 503.71 GB, Available: 402.78 GB, Used: 97.40 GB, Percent: 20.0%
Timestamp: 2024-07-27 05:05:18, Total: 503.71 GB, Available: 401.90 GB, Used: 98.28 GB, Percent: 20.2%
Timestamp: 2024-07-27 05:05:28, Total: 503.71 GB, Available: 401.75 GB, Used: 98.43 GB, Percent: 20.2%
Timestamp: 2024-07-27 05:05:38, Total: 503.71 GB, Available: 401.75 GB, Used: 98.43 GB, Percent: 20.2%
Timestamp: 2024-07-27 05:05:48, Total: 503.71 GB, Available: 401.73 GB, Used: 98.44 GB, Percent: 20.2%
Timestamp: 2024-07-27 05:05:58, Total: 503.71 GB, Available: 401.44 GB, Used: 98.74 GB, Percent: 20.3%
Timestamp: 2024-07-27 05:06:08, Total: 503.71 GB, Available: 399.79 GB, Used: 100.39 GB, Percent: 20.6%
Timestamp: 2024-07-27 05:06:18, Total: 503.71 GB, Available: 399.22 GB, Used: 100.95 GB, Percent: 20.7%
Timestamp: 2024-07-27 05:06:28, Total: 503.71 GB, Available: 399.01 GB, Used: 101.17 GB, Percent: 20.8%
Timestamp: 2024-07-27 05:06:38, Total: 503.71 GB, Available: 398.84 GB, Used: 101.33 GB, Percent: 20.8%
Timestamp: 2024-07-27 05:06:48, Total: 503.71 GB, Available: 398.86 GB, Used: 101.32 GB, Percent: 20.8%
Timestamp: 2024-07-27 05:06:58, Total: 503.71 GB, Available: 398.51 GB, Used: 101.67 GB, Percent: 20.9%
Timestamp: 2024-07-27 05:07:08, Total: 503.71 GB, Available: 397.27 GB, Used: 102.90 GB, Percent: 21.1%
Timestamp: 2024-07-27 05:07:18, Total: 503.71 GB, Available: 397.51 GB, Used: 102.67 GB, Percent: 21.1%
Timestamp: 2024-07-27 05:07:28, Total: 503.71 GB, Available: 397.64 GB, Used: 102.54 GB, Percent: 21.1%
Timestamp: 2024-07-27 05:07:38, Total: 503.71 GB, Available: 397.83 GB, Used: 102.35 GB, Percent: 21.0%
Timestamp: 2024-07-27 05:07:48, Total: 503.71 GB, Available: 397.83 GB, Used: 102.35 GB, Percent: 21.0%
Timestamp: 2024-07-27 05:07:58, Total: 503.71 GB, Available: 397.45 GB, Used: 102.73 GB, Percent: 21.1%
Timestamp: 2024-07-27 05:08:08, Total: 503.71 GB, Available: 396.24 GB, Used: 103.94 GB, Percent: 21.3%
Timestamp: 2024-07-27 05:08:18, Total: 503.71 GB, Available: 395.00 GB, Used: 105.17 GB, Percent: 21.6%
Timestamp: 2024-07-27 05:08:28, Total: 503.71 GB, Available: 393.40 GB, Used: 106.78 GB, Percent: 21.9%
Timestamp: 2024-07-27 05:08:38, Total: 503.71 GB, Available: 392.79 GB, Used: 107.39 GB, Percent: 22.0%
Timestamp: 2024-07-27 05:08:48, Total: 503.71 GB, Available: 392.79 GB, Used: 107.38 GB, Percent: 22.0%
Timestamp: 2024-07-27 05:08:58, Total: 503.71 GB, Available: 392.01 GB, Used: 108.17 GB, Percent: 22.2%
Timestamp: 2024-07-27 05:09:08, Total: 503.71 GB, Available: 392.80 GB, Used: 107.38 GB, Percent: 22.0%
Timestamp: 2024-07-27 05:09:18, Total: 503.71 GB, Available: 391.56 GB, Used: 108.61 GB, Percent: 22.3%
Timestamp: 2024-07-27 05:09:28, Total: 503.71 GB, Available: 392.53 GB, Used: 107.64 GB, Percent: 22.1%
Timestamp: 2024-07-27 05:09:38, Total: 503.71 GB, Available: 393.13 GB, Used: 107.05 GB, Percent: 22.0%
Timestamp: 2024-07-27 05:09:48, Total: 503.71 GB, Available: 393.14 GB, Used: 107.04 GB, Percent: 22.0%
Timestamp: 2024-07-27 05:09:58, Total: 503.71 GB, Available: 392.70 GB, Used: 107.48 GB, Percent: 22.0%
Timestamp: 2024-07-27 05:10:08, Total: 503.71 GB, Available: 392.22 GB, Used: 107.96 GB, Percent: 22.1%
Timestamp: 2024-07-27 05:10:18, Total: 503.71 GB, Available: 390.74 GB, Used: 109.44 GB, Percent: 22.4%
Timestamp: 2024-07-27 05:10:28, Total: 503.71 GB, Available: 390.31 GB, Used: 109.87 GB, Percent: 22.5%
Timestamp: 2024-07-27 05:10:38, Total: 503.71 GB, Available: 390.34 GB, Used: 109.84 GB, Percent: 22.5%
Timestamp: 2024-07-27 05:10:48, Total: 503.71 GB, Available: 390.35 GB, Used: 109.83 GB, Percent: 22.5%
Timestamp: 2024-07-27 05:10:58, Total: 503.71 GB, Available: 389.65 GB, Used: 110.52 GB, Percent: 22.6%
Timestamp: 2024-07-27 05:11:08, Total: 503.71 GB, Available: 388.67 GB, Used: 111.51 GB, Percent: 22.8%
Timestamp: 2024-07-27 05:11:18, Total: 503.71 GB, Available: 388.09 GB, Used: 112.09 GB, Percent: 23.0%
Timestamp: 2024-07-27 05:11:28, Total: 503.71 GB, Available: 388.36 GB, Used: 111.81 GB, Percent: 22.9%
Timestamp: 2024-07-27 05:11:38, Total: 503.71 GB, Available: 388.27 GB, Used: 111.91 GB, Percent: 22.9%
Timestamp: 2024-07-27 05:11:48, Total: 503.71 GB, Available: 388.28 GB, Used: 111.89 GB, Percent: 22.9%
Timestamp: 2024-07-27 05:11:58, Total: 503.71 GB, Available: 387.25 GB, Used: 112.93 GB, Percent: 23.1%
Timestamp: 2024-07-27 05:12:08, Total: 503.71 GB, Available: 386.69 GB, Used: 113.48 GB, Percent: 23.2%
Timestamp: 2024-07-27 05:12:18, Total: 503.71 GB, Available: 386.05 GB, Used: 114.13 GB, Percent: 23.4%
Timestamp: 2024-07-27 05:12:28, Total: 503.71 GB, Available: 385.80 GB, Used: 114.38 GB, Percent: 23.4%
Timestamp: 2024-07-27 05:12:38, Total: 503.71 GB, Available: 385.87 GB, Used: 114.31 GB, Percent: 23.4%
Timestamp: 2024-07-27 05:12:48, Total: 503.71 GB, Available: 385.87 GB, Used: 114.31 GB, Percent: 23.4%
Timestamp: 2024-07-27 05:12:58, Total: 503.71 GB, Available: 385.19 GB, Used: 114.98 GB, Percent: 23.5%
Timestamp: 2024-07-27 05:13:08, Total: 503.71 GB, Available: 384.92 GB, Used: 115.26 GB, Percent: 23.6%
Timestamp: 2024-07-27 05:13:18, Total: 503.71 GB, Available: 384.56 GB, Used: 115.61 GB, Percent: 23.7%
Timestamp: 2024-07-27 05:13:28, Total: 503.71 GB, Available: 384.63 GB, Used: 115.54 GB, Percent: 23.6%
Timestamp: 2024-07-27 05:13:38, Total: 503.71 GB, Available: 384.73 GB, Used: 115.45 GB, Percent: 23.6%
Timestamp: 2024-07-27 05:13:48, Total: 503.71 GB, Available: 384.74 GB, Used: 115.44 GB, Percent: 23.6%
Timestamp: 2024-07-27 05:13:58, Total: 503.71 GB, Available: 383.74 GB, Used: 116.44 GB, Percent: 23.8%
Timestamp: 2024-07-27 05:14:08, Total: 503.71 GB, Available: 383.35 GB, Used: 116.83 GB, Percent: 23.9%
Timestamp: 2024-07-27 05:14:18, Total: 503.71 GB, Available: 382.33 GB, Used: 117.85 GB, Percent: 24.1%
Timestamp: 2024-07-27 05:14:28, Total: 503.71 GB, Available: 382.15 GB, Used: 118.03 GB, Percent: 24.1%
Timestamp: 2024-07-27 05:14:38, Total: 503.71 GB, Available: 382.04 GB, Used: 118.14 GB, Percent: 24.2%
Timestamp: 2024-07-27 05:14:48, Total: 503.71 GB, Available: 381.72 GB, Used: 118.45 GB, Percent: 24.2%
Timestamp: 2024-07-27 05:14:58, Total: 503.71 GB, Available: 381.37 GB, Used: 118.81 GB, Percent: 24.3%
Timestamp: 2024-07-27 05:15:08, Total: 503.71 GB, Available: 380.45 GB, Used: 119.73 GB, Percent: 24.5%
Timestamp: 2024-07-27 05:15:18, Total: 503.71 GB, Available: 380.62 GB, Used: 119.56 GB, Percent: 24.4%
Timestamp: 2024-07-27 05:15:28, Total: 503.71 GB, Available: 380.25 GB, Used: 119.93 GB, Percent: 24.5%
Timestamp: 2024-07-27 05:15:38, Total: 503.71 GB, Available: 380.26 GB, Used: 119.92 GB, Percent: 24.5%
Timestamp: 2024-07-27 05:15:48, Total: 503.71 GB, Available: 380.07 GB, Used: 120.11 GB, Percent: 24.5%
Timestamp: 2024-07-27 05:15:58, Total: 503.71 GB, Available: 379.21 GB, Used: 120.97 GB, Percent: 24.7%
Timestamp: 2024-07-27 05:16:09, Total: 503.71 GB, Available: 378.68 GB, Used: 121.50 GB, Percent: 24.8%
Timestamp: 2024-07-27 05:16:19, Total: 503.71 GB, Available: 378.63 GB, Used: 121.54 GB, Percent: 24.8%
Timestamp: 2024-07-27 05:16:29, Total: 503.71 GB, Available: 378.30 GB, Used: 121.88 GB, Percent: 24.9%
Timestamp: 2024-07-27 05:16:39, Total: 503.71 GB, Available: 378.09 GB, Used: 122.09 GB, Percent: 24.9%
Timestamp: 2024-07-27 05:16:49, Total: 503.71 GB, Available: 378.06 GB, Used: 122.12 GB, Percent: 24.9%
Timestamp: 2024-07-27 05:16:59, Total: 503.71 GB, Available: 377.19 GB, Used: 122.98 GB, Percent: 25.1%
Timestamp: 2024-07-27 05:17:09, Total: 503.71 GB, Available: 376.53 GB, Used: 123.64 GB, Percent: 25.2%
Timestamp: 2024-07-27 05:17:19, Total: 503.71 GB, Available: 375.92 GB, Used: 124.26 GB, Percent: 25.4%
Timestamp: 2024-07-27 05:17:29, Total: 503.71 GB, Available: 375.10 GB, Used: 125.08 GB, Percent: 25.5%
Timestamp: 2024-07-27 05:17:39, Total: 503.71 GB, Available: 374.36 GB, Used: 125.82 GB, Percent: 25.7%
Timestamp: 2024-07-27 05:17:49, Total: 503.71 GB, Available: 374.20 GB, Used: 125.98 GB, Percent: 25.7%
Timestamp: 2024-07-27 05:17:59, Total: 503.71 GB, Available: 373.15 GB, Used: 127.02 GB, Percent: 25.9%
Timestamp: 2024-07-27 05:18:09, Total: 503.71 GB, Available: 373.34 GB, Used: 126.84 GB, Percent: 25.9%
Timestamp: 2024-07-27 05:18:19, Total: 503.71 GB, Available: 372.71 GB, Used: 127.47 GB, Percent: 26.0%
Timestamp: 2024-07-27 05:18:29, Total: 503.71 GB, Available: 373.46 GB, Used: 126.72 GB, Percent: 25.9%
Timestamp: 2024-07-27 05:18:39, Total: 503.71 GB, Available: 373.76 GB, Used: 126.42 GB, Percent: 25.8%
Timestamp: 2024-07-27 05:18:49, Total: 503.71 GB, Available: 373.63 GB, Used: 126.55 GB, Percent: 25.8%
Timestamp: 2024-07-27 05:18:59, Total: 503.71 GB, Available: 372.79 GB, Used: 127.39 GB, Percent: 26.0%
Timestamp: 2024-07-27 05:19:09, Total: 503.71 GB, Available: 372.09 GB, Used: 128.08 GB, Percent: 26.1%
Timestamp: 2024-07-27 05:19:19, Total: 503.71 GB, Available: 370.91 GB, Used: 129.27 GB, Percent: 26.4%
Timestamp: 2024-07-27 05:19:29, Total: 503.71 GB, Available: 370.63 GB, Used: 129.55 GB, Percent: 26.4%
Timestamp: 2024-07-27 05:19:39, Total: 503.71 GB, Available: 370.61 GB, Used: 129.56 GB, Percent: 26.4%
Timestamp: 2024-07-27 05:19:49, Total: 503.71 GB, Available: 370.57 GB, Used: 129.61 GB, Percent: 26.4%
Timestamp: 2024-07-27 05:19:59, Total: 503.71 GB, Available: 370.03 GB, Used: 130.14 GB, Percent: 26.5%
Timestamp: 2024-07-27 05:20:09, Total: 503.71 GB, Available: 369.86 GB, Used: 130.31 GB, Percent: 26.6%
Timestamp: 2024-07-27 05:20:19, Total: 503.71 GB, Available: 370.29 GB, Used: 129.89 GB, Percent: 26.5%
Timestamp: 2024-07-27 05:20:29, Total: 503.71 GB, Available: 370.00 GB, Used: 130.17 GB, Percent: 26.5%
Timestamp: 2024-07-27 05:20:39, Total: 503.71 GB, Available: 369.83 GB, Used: 130.34 GB, Percent: 26.6%
Timestamp: 2024-07-27 05:20:49, Total: 503.71 GB, Available: 369.21 GB, Used: 130.96 GB, Percent: 26.7%
Timestamp: 2024-07-27 05:20:59, Total: 503.71 GB, Available: 368.14 GB, Used: 132.04 GB, Percent: 26.9%
Timestamp: 2024-07-27 05:21:09, Total: 503.71 GB, Available: 367.34 GB, Used: 132.83 GB, Percent: 27.1%
Timestamp: 2024-07-27 05:21:19, Total: 503.71 GB, Available: 366.95 GB, Used: 133.23 GB, Percent: 27.2%
Timestamp: 2024-07-27 05:21:29, Total: 503.71 GB, Available: 366.71 GB, Used: 133.47 GB, Percent: 27.2%
Timestamp: 2024-07-27 05:21:39, Total: 503.71 GB, Available: 366.95 GB, Used: 133.23 GB, Percent: 27.2%
Timestamp: 2024-07-27 05:21:49, Total: 503.71 GB, Available: 367.86 GB, Used: 132.31 GB, Percent: 27.0%
Timestamp: 2024-07-27 05:21:59, Total: 503.71 GB, Available: 368.52 GB, Used: 131.65 GB, Percent: 26.8%
Timestamp: 2024-07-27 05:22:09, Total: 503.71 GB, Available: 368.87 GB, Used: 131.31 GB, Percent: 26.8%
Timestamp: 2024-07-27 05:22:19, Total: 503.71 GB, Available: 368.78 GB, Used: 131.39 GB, Percent: 26.8%
Timestamp: 2024-07-27 05:22:29, Total: 503.71 GB, Available: 369.48 GB, Used: 130.70 GB, Percent: 26.6%
Timestamp: 2024-07-27 05:22:39, Total: 503.71 GB, Available: 369.48 GB, Used: 130.70 GB, Percent: 26.6%
Timestamp: 2024-07-27 05:22:49, Total: 503.71 GB, Available: 369.69 GB, Used: 130.48 GB, Percent: 26.6%
Timestamp: 2024-07-27 05:22:59, Total: 503.71 GB, Available: 369.70 GB, Used: 130.48 GB, Percent: 26.6%
Timestamp: 2024-07-27 05:23:09, Total: 503.71 GB, Available: 369.68 GB, Used: 130.50 GB, Percent: 26.6%
Timestamp: 2024-07-27 05:23:19, Total: 503.71 GB, Available: 375.47 GB, Used: 124.71 GB, Percent: 25.5%
Timestamp: 2024-07-27 05:23:29, Total: 503.71 GB, Available: 365.99 GB, Used: 134.19 GB, Percent: 27.3%
Timestamp: 2024-07-27 05:23:39, Total: 503.71 GB, Available: 354.63 GB, Used: 145.53 GB, Percent: 29.6%
Timestamp: 2024-07-27 05:23:49, Total: 503.71 GB, Available: 348.46 GB, Used: 151.71 GB, Percent: 30.8%
Timestamp: 2024-07-27 05:23:59, Total: 503.71 GB, Available: 339.43 GB, Used: 160.75 GB, Percent: 32.6%
Timestamp: 2024-07-27 05:24:09, Total: 503.71 GB, Available: 334.76 GB, Used: 165.41 GB, Percent: 33.5%
Timestamp: 2024-07-27 05:24:19, Total: 503.71 GB, Available: 337.09 GB, Used: 163.08 GB, Percent: 33.1%
Timestamp: 2024-07-27 05:24:29, Total: 503.71 GB, Available: 338.79 GB, Used: 161.38 GB, Percent: 32.7%
Timestamp: 2024-07-27 05:24:39, Total: 503.71 GB, Available: 341.66 GB, Used: 158.51 GB, Percent: 32.2%
Timestamp: 2024-07-27 05:24:49, Total: 503.71 GB, Available: 333.31 GB, Used: 166.86 GB, Percent: 33.8%
Timestamp: 2024-07-27 05:24:59, Total: 503.71 GB, Available: 327.64 GB, Used: 172.54 GB, Percent: 35.0%
Timestamp: 2024-07-27 05:25:09, Total: 503.71 GB, Available: 338.72 GB, Used: 161.45 GB, Percent: 32.8%
Timestamp: 2024-07-27 05:25:19, Total: 503.71 GB, Available: 335.79 GB, Used: 164.38 GB, Percent: 33.3%
Timestamp: 2024-07-27 05:25:29, Total: 503.71 GB, Available: 341.85 GB, Used: 158.32 GB, Percent: 32.1%
Timestamp: 2024-07-27 05:25:39, Total: 503.71 GB, Available: 334.59 GB, Used: 165.58 GB, Percent: 33.6%
Timestamp: 2024-07-27 05:25:49, Total: 503.71 GB, Available: 333.27 GB, Used: 166.90 GB, Percent: 33.8%
Timestamp: 2024-07-27 05:25:59, Total: 503.71 GB, Available: 337.11 GB, Used: 163.06 GB, Percent: 33.1%
Timestamp: 2024-07-27 05:26:09, Total: 503.71 GB, Available: 338.50 GB, Used: 161.67 GB, Percent: 32.8%
Timestamp: 2024-07-27 05:26:19, Total: 503.71 GB, Available: 338.31 GB, Used: 161.86 GB, Percent: 32.8%
Timestamp: 2024-07-27 05:26:29, Total: 503.71 GB, Available: 338.84 GB, Used: 161.34 GB, Percent: 32.7%
Timestamp: 2024-07-27 05:26:39, Total: 503.71 GB, Available: 339.40 GB, Used: 160.77 GB, Percent: 32.6%
Timestamp: 2024-07-27 05:26:49, Total: 503.71 GB, Available: 339.41 GB, Used: 160.76 GB, Percent: 32.6%
Timestamp: 2024-07-27 05:26:59, Total: 503.71 GB, Available: 339.80 GB, Used: 160.35 GB, Percent: 32.5%
Timestamp: 2024-07-27 05:27:09, Total: 503.71 GB, Available: 340.59 GB, Used: 159.58 GB, Percent: 32.4%
Timestamp: 2024-07-27 05:27:19, Total: 503.71 GB, Available: 342.31 GB, Used: 157.86 GB, Percent: 32.0%
Timestamp: 2024-07-27 05:27:29, Total: 503.71 GB, Available: 343.66 GB, Used: 156.51 GB, Percent: 31.8%
Timestamp: 2024-07-27 05:27:39, Total: 503.71 GB, Available: 406.75 GB, Used: 93.43 GB, Percent: 19.2%
Timestamp: 2024-07-27 05:27:49, Total: 503.71 GB, Available: 400.29 GB, Used: 99.88 GB, Percent: 20.5%
Timestamp: 2024-07-27 05:27:59, Total: 503.71 GB, Available: 393.87 GB, Used: 106.31 GB, Percent: 21.8%
Timestamp: 2024-07-27 05:28:09, Total: 503.71 GB, Available: 387.70 GB, Used: 112.47 GB, Percent: 23.0%
Timestamp: 2024-07-27 05:28:19, Total: 503.71 GB, Available: 381.29 GB, Used: 118.89 GB, Percent: 24.3%
Timestamp: 2024-07-27 05:28:29, Total: 503.71 GB, Available: 373.91 GB, Used: 126.26 GB, Percent: 25.8%
Timestamp: 2024-07-27 05:28:39, Total: 503.71 GB, Available: 359.68 GB, Used: 140.50 GB, Percent: 28.6%
Timestamp: 2024-07-27 05:28:49, Total: 503.71 GB, Available: 344.83 GB, Used: 155.34 GB, Percent: 31.5%
Timestamp: 2024-07-27 05:28:59, Total: 503.71 GB, Available: 402.29 GB, Used: 97.89 GB, Percent: 20.1%
Timestamp: 2024-07-27 05:29:09, Total: 503.71 GB, Available: 394.35 GB, Used: 105.83 GB, Percent: 21.7%
Timestamp: 2024-07-27 05:29:19, Total: 503.71 GB, Available: 375.10 GB, Used: 125.08 GB, Percent: 25.5%
Timestamp: 2024-07-27 05:29:29, Total: 503.71 GB, Available: 369.00 GB, Used: 131.18 GB, Percent: 26.7%
Timestamp: 2024-07-27 05:29:39, Total: 503.71 GB, Available: 362.15 GB, Used: 138.03 GB, Percent: 28.1%
Timestamp: 2024-07-27 05:29:49, Total: 503.71 GB, Available: 356.35 GB, Used: 143.83 GB, Percent: 29.3%
Timestamp: 2024-07-27 05:29:59, Total: 503.71 GB, Available: 356.37 GB, Used: 143.81 GB, Percent: 29.3%
Timestamp: 2024-07-27 05:30:09, Total: 503.71 GB, Available: 350.43 GB, Used: 149.75 GB, Percent: 30.4%
Timestamp: 2024-07-27 05:30:19, Total: 503.71 GB, Available: 337.59 GB, Used: 162.59 GB, Percent: 33.0%
Timestamp: 2024-07-27 05:30:29, Total: 503.71 GB, Available: 345.27 GB, Used: 154.91 GB, Percent: 31.5%
Timestamp: 2024-07-27 05:30:39, Total: 503.71 GB, Available: 375.36 GB, Used: 124.82 GB, Percent: 25.5%
Timestamp: 2024-07-27 05:30:49, Total: 503.71 GB, Available: 376.96 GB, Used: 123.21 GB, Percent: 25.2%
Timestamp: 2024-07-27 05:30:59, Total: 503.71 GB, Available: 408.32 GB, Used: 91.86 GB, Percent: 18.9%
Timestamp: 2024-07-27 05:31:09, Total: 503.71 GB, Available: 423.41 GB, Used: 76.77 GB, Percent: 15.9%
Timestamp: 2024-07-27 05:31:19, Total: 503.71 GB, Available: 469.07 GB, Used: 31.10 GB, Percent: 6.9%
